d_backyard,d_bathtub,d_bedlinens,d_bodysoap,d_breakfast,d_carbonmonoxidealarm,d_cleaningproducts,d_closet,d_clothingstorage,d_coffeemaker,d_conditioner,d_cookingbasics,d_crib,d_dedicatedworkspace,d_diningtable,d_dishesandsilverware,d_dishwasher,d_dryer,d_dryingrackforclothing,d_elevator,d_essentials,d_extrapillowsandblankets,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freestreetparking,d_freezer,d_hairdryer,d_hangers,d_heating,d_hostgreetsyou,d_hotwater,d_hotwaterkettle,d_iron,d_kitchen,d_lockbo,d_lockonbedroomdoor,d_longtermstaysallowed,d_luggagedropoffallowed,d_microwave,d_oven,d_patioorbalcony,d_privateentrance,d_refrigerator,d_roomdarkeningshades,d_securitycamerasonproperty,d_shampoo,d_showergel,d_smokealarm,d_stove,d_table,d_toaster,d_tv,d_washer,d_wifi,d_wineglasses,n_accommodates,n_bathrooms,n_beds,n_days_since,n_minimum_nights,n_number_of_reviews,n_review_scores_rating,n_reviews_per_month,usd_price_day,f_property_type,f_neighbourhood_cleansed,f_room_type,f_room_type2,price,id,neighbourhood_cleansed,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,2,1,1,2433,3,10,5,0.12,75,Room,Rochdale District,Private room,Private,75,283495,Rochdale District,Private room,Room,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,2.3978952727983707,2,2,3,0,0,0,0,7.797291273547472,60.79775120453956,474.05777491846663,5919489,14402116737,1.6094379124341003
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,3077,2,40,4.8,0.39,36,Room,Stockport District,Private room,Private,36,390028,Stockport District,Private room,Room,3.58351893845611,1,0,0,0,3.713572066704308,2,2,2,0,0,0,0,8.032035314398824,64.51359129174982,518.1754435140269,9467929,29132817533,1.5686159179138452
0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,6,1,5,3546,2,225,4.78,1.9,129,Rental Unit,Hulme,Entire home/apt,Entire/Apt,129,411843,Hulme,Entire home/apt,Rental Unit,4.859812404361672,36,1.791759469228055,3.210401995568401,1.6094379124341003,5.420534999272286,2,3,2,0,0,0,0,8.173857454773621,66.8119456909583,546.1113203539699,12574116,44587815336,1.5644405465033646
0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,2,1,1,3428,2,330,4.97,2.89,70,Rental Unit,Trafford District,Entire home/apt,Entire/Apt,70,412687,Trafford District,Entire home/apt,Rental Unit,4.248495242049359,4,0.6931471805599453,0.4804530139182014,0,5.802118375377063,2,3,2,0,0,0,0,8.14002395246292,66.25998994667006,539.3579052558466,11751184,40283058752,1.6034198401085373
0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,4,3,2,3153,2,232,4.68,2.21,80,Rental Unit,Ancoats and Clayton,Entire home/apt,Entire/Apt,80,681857,Ancoats and Clayton,Entire home/apt,Rental Unit,4.382026634673881,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,5.4510384535657,3,3,2,0,0,0,0,8.056426767522984,64.90601226046084,522.9105345483516,9941409,31345262577,1.5432981099295553
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,1,3090,30,28,4.61,0.27,35,Room,Hulme,Private room,Private,35,711322,Hulme,Private room,Room,3.5553480614894135,1,0,0,0,3.367295829986474,3,2,3,0,0,0,0,8.036249942132116,64.58131313241844,518.9915739232138,9548100,29503629000,1.5282278570085572
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,3118,30,33,4.67,0.32,33,Room,Trafford District,Private room,Private,33,711323,Trafford District,Private room,Room,3.4965075614664802,1,0,0,0,3.5263605246161616,2,2,3,0,0,0,0,8.045267716607803,64.72633263189174,520.7406743377768,9721924,30312959032,1.541159071680806
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,3314,1,73,4.91,0.66,50,Room,Stockport District,Private room,Private,50,758206,Stockport District,Private room,Room,3.912023005428146,4,0.6931471805599453,0.4804530139182014,0,4.30406509320417,2,3,1,0,0,0,0,8.106212902619962,65.71068762260235,532.664823846369,10982596,36396323144,1.5912739418064292
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,3181,3,53,4.96,0.5,33,Room,Chorlton,Private room,Private,33,917497,Chorlton,Private room,Room,3.4965075614664802,1,0,0,0,3.9889840465642745,2,3,3,0,0,0,0,8.065265208897733,65.0485028898562,524.6334272484409,10118761,32187778741,1.601405740736836
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,3181,3,66,4.98,0.62,35,Room,Chorlton,Private room,Private,35,917498,Chorlton,Private room,Room,3.5553480614894135,1,0,0,0,4.204692619390966,2,3,3,0,0,0,0,8.065265208897733,65.0485028898562,524.6334272484409,10118761,32187778741,1.6054298910365616
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,1,3211,3,130,4.94,1.21,45,Room,Chorlton,Private room,Private,45,917504,Chorlton,Private room,Room,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,4.875197323201151,2,3,3,0,0,0,0,8.074649075066652,65.19995768547474,526.4667780194035,10310521,33107082931,1.5973653311998313
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,739,7,0,4.8,1.1,66,Room,Bradford,Private room,Private,66,968898,Bradford,Private room,Room,4.189654742026425,1,0,0,0,0,2,1,3,1,1,1,1,6.606650186198215,43.64782668279291,288.3659222810212,546121,403583419,1.5686159179138452
0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,3,2,2,2823,7,29,4.39,0.31,78,Rental Unit,Didsbury West,Entire home/apt,Entire/Apt,78,1111565,Didsbury West,Entire home/apt,Rental Unit,4.356708826689592,9,1.0986122886681098,1.206948960812582,0.6931471805599453,3.4011973816621555,3,2,3,0,0,0,0,7.945909598613133,63.13747934933232,501.6847031940981,7969329,22497415767,1.47932922708708
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,4,2,3,2712,10,21,4.76,0.23,78,Rental Unit,Didsbury East,Entire home/apt,Entire/Apt,78,1117458,Didsbury East,Entire home/apt,Rental Unit,4.356708826689592,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,3.091042453358316,3,2,3,0,0,0,0,7.905810312658931,62.50183669974431,494.127665140963,7354944,19946608128,1.5602476682433286
